Unnamed: 0,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Original Occupation,Best Match,Degree of Match,Score,index,OCC_CODE,OCC_TITLE
,2022 National Employment Matrix title,Checked (HD), +,Initial analysis (Trade or not),Level of Uncertainty,Level of Uncertainty (FINAL RECODE) ,Notes,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average (numbers in thousands)","Median annual wage, 2023(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,2022 National Employment Matrix title,Materials Scientists,Suspicious Match,50.625,197,19-2032,Materials Scientists
,"Total, all occupations",False,,,,,,00-0000,Summary,164482.6,169148.1,4665.5,2.8,6,18566.5,48060,—,—,—,"Total, all occupations",All Occupations,Suspicious Match,70.27027027027026,0,00-0000,All Occupations
,  Management occupations,False,,,,,,11-0000,Summary,12574.7,13257.7,683,5.4,15.8,1053.1,116880,—,—,—,  Management occupations,Management Occupations,Similar Match,91.30434782608697,1,11-0000,Management Occupations
,    Top executives,False,,,,,,11-1000,Summary,3832.2,3958,125.8,3.3,1.8,315,103460,—,—,—,    Top executives,Top Executives,Similar Match,88.21428571428571,2,11-1000,Top Executives
,      Chief executives,False,,,,,,11-1011,Line item,280,257,-23,-8.2,21.2,15.3,206680,Bachelor's degree,5 years or more,,      Chief executives,Chief Executives,Similar Match,89.0625,3,11-1011,Chief Executives
,      General and operations managers,False,,,,,,11-1021,Line item,3507.8,3655.1,147.3,4.2,0.3,296.3,101280,Bachelor's degree,5 years or more,,      General and operations managers,General and Operations Managers,Similar Match,88.87096774193547,4,11-1021,General and Operations Managers
,      Legislators,False,,,,,,11-1031,Line item,44.4,46,1.5,3.4,—,3.4,47290,Bachelor's degree,Less than 5 years,,      Legislators,Legislators,Similar Match,90.0,5,11-1031,Legislators
,"    Advertising, marketing, promotions, public relations, and sales managers",False,,,,,,11-2000,Summary,1049.4,1102.2,52.8,5,3.5,85,139850,—,—,—,"    Advertising, marketing, promotions, public relations, and sales managers","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,89.1891891891892,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,      Advertising and promotions managers,False,,,,,,11-2011,Line item,30.9,31.4,0.6,1.9,27,2.8,131870,Bachelor's degree,Less than 5 years,,      Advertising and promotions managers,Advertising and Promotions Managers,Similar Match,89.57142857142857,7,11-2011,Advertising and Promotions Managers
,      Marketing and sales managers,False,,,,,,11-2020,Summary,912.9,959.1,46.2,5.1,2.9,74.4,141780,—,—,—,      Marketing and sales managers,Marketing and Sales Managers,Similar Match,88.21428571428571,8,11-2020,Marketing and Sales Managers
,        Marketing managers,False,,,,,,11-2021,Line item,358.2,381.9,23.7,6.6,5.3,31.2,157620,Bachelor's degree,5 years or more,,        Marketing managers,Marketing Managers,Similar Match,89.72222222222221,9,11-2021,Marketing Managers
,        Sales managers,False,,,,,,11-2022,Line item,554.7,577.2,22.5,4,1.3,43.2,135160,Bachelor's degree,Less than 5 years,,        Sales managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,85.5,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,      Public relations and fundraising managers,False,,,,,,11-2030,Summary,105.7,111.7,6,5.7,2.3,7.8,130480,—,—,—,      Public relations and fundraising managers,Public Relations and Fundraising Managers,Similar Match,88.04878048780488,11,11-2030,Public Relations and Fundraising Managers
,        Public relations managers,False,,,,,,11-2032,Line item,72,76.3,4.3,5.9,2.3,5.4,134760,Bachelor's degree,5 years or more,,        Public relations managers,Public Relations Managers,Similar Match,87.39999999999999,12,11-2032,Public Relations Managers
,        Fundraising managers,False,,,,,,11-2033,Line item,33.7,35.4,1.7,5.1,2.1,2.5,119200,Bachelor's degree,5 years or more,,        Fundraising managers,Fundraising Managers,Similar Match,90.25,13,11-2033,Fundraising Managers
,    Operations specialties managers,False,,,,,,11-3000,Summary,2455.5,2722.6,267.1,10.9,1.6,205.5,136170,—,—,—,    Operations specialties managers,Operations Specialties Managers,Similar Match,88.87096774193547,14,11-3000,Operations Specialties Managers
,      Administrative services and facilities managers,False,,,,,,11-3010,Summary,377.8,397.7,19.9,5.3,0.4,31.4,104900,—,—,—,      Administrative services and facilities managers,Administrative Services and Facilities Managers,Similar Match,88.93617021276596,15,11-3010,Administrative Services and Facilities Managers
,        Administrative services managers,False,,,,,,11-3012,Line item,250.8,264.9,14,5.6,—,21.1,106470,Bachelor's degree,Less than 5 years,,        Administrative services managers,Administrative Services Managers,Similar Match,89.0625,16,11-3012,Administrative Services Managers
,        Facilities managers,False,,,,,,11-3013,Line item,127,132.8,5.8,4.6,1.2,10.3,102340,Bachelor's degree,Less than 5 years,,        Facilities managers,Facilities Managers,Similar Match,90.0,17,11-3013,Facilities Managers
,      Computer and information systems managers,False,,,,,,11-3021,Line item,557.4,643.3,86,15.4,1.2,46.9,169510,Bachelor's degree,5 years or more,,      Computer and information systems managers,Computer and Information Systems Managers,Similar Match,88.04878048780488,18,11-3021,Computer and Information Systems Managers
,      Financial managers,False,,,,,,11-3031,Line item,792.6,919.2,126.6,16,2.5,69.6,156100,Bachelor's degree,5 years or more,,      Financial managers,Financial Managers,Similar Match,89.72222222222221,19,11-3031,Financial Managers
,      Industrial production managers,False,,,,,,11-3051,Line item,222.1,225.7,3.6,1.6,2.3,15.3,116970,Bachelor's degree,5 years or more,,      Industrial production managers,Industrial Production Managers,Similar Match,88.66666666666666,20,11-3051,Industrial Production Managers
,      Purchasing managers,False,,,,,,11-3061,Line item,77.5,80.9,3.4,4.4,1.7,6.1,136380,Bachelor's degree,5 years or more,,      Purchasing managers,Purchasing Managers,Similar Match,89.99999999999999,21,11-3061,Purchasing Managers
,"      Transportation, storage, and distribution managers",True,Other/TBD,Not Trade,Very Certain,OUT,currently classifying managers as tbd,11-3071,Line item,177.7,192.3,14.6,8.2,1.9,15.9,99200,High school diploma or equivalent,5 years or more,,"      Transportation, storage, and distribution managers","Transportation, Storage, and Distribution Managers",Similar Match,89.3,22,11-3071,"Transportation, Storage, and Distribution Managers"
,      Compensation and benefits managers,False,,,,,,11-3111,Line item,17.5,17.8,0.4,2.2,—,1.1,136380,Bachelor's degree,5 years or more,,      Compensation and benefits managers,Compensation and Benefits Managers,Similar Match,89.41176470588236,23,11-3111,Compensation and Benefits Managers
,      Human resources managers,False,,,,,,11-3121,Line item,191.6,201.6,10,5.2,1.4,15.5,136350,Bachelor's degree,5 years or more,,      Human resources managers,Human Resources Managers,Similar Match,87.08333333333333,24,11-3121,Human Resources Managers
,      Training and development managers,False,,,,,,11-3131,Line item,41.3,44,2.7,6.5,—,3.5,125040,Bachelor's degree,5 years or more,,      Training and development managers,Training and Development Managers,Similar Match,89.24242424242424,25,11-3131,Training and Development Managers
,    Other management occupations,False,,,,,,11-9000,Summary,5237.5,5474.9,237.4,4.5,35.1,447.6,102510,—,—,—,    Other management occupations,Other Management Occupations,Similar Match,88.21428571428571,26,11-9000,Other Management Occupations
,"      Farmers, ranchers, and other agricultural managers",True,Other/TBD,Not Trade,Very Certain,OUT,,11-9013,Line item,922.9,880.6,-42.3,-4.6,67.2,88.8,83770,High school diploma or equivalent,5 years or more,,"      Farmers, ranchers, and other agricultural managers","Farmers, Ranchers, and Other Agricultural Managers",Similar Match,87.39999999999999,27,11-9013,"Farmers, Ranchers, and Other Agricultural Managers"
,      Construction managers,False,,,,,,11-9021,Line item,505.8,528.7,22.9,4.5,39.3,38.7,104900,Bachelor's degree,,Moderate-term on-the-job training,      Construction managers,Construction Managers,Similar Match,90.47619047619048,28,11-9021,Construction Managers
,      Education and childcare administrators,False,,,,,,11-9030,Summary,651,661.4,10.3,1.6,2.9,44.1,99940,—,—,—,      Education and childcare administrators,Education and Childcare Administrators,Similar Match,89.99999999999999,29,11-9030,Education and Childcare Administrators
,"        Education and childcare administrators, preschool and daycare",False,,,,,,11-9031,Line item,74.8,72.6,-2.2,-3,6.8,4.6,54290,Bachelor's degree,Less than 5 years,,"        Education and childcare administrators, preschool and daycare","Education and Childcare Administrators, Preschool and Daycare",Similar Match,88.33333333333333,30,11-9031,"Education and Childcare Administrators, Preschool and Daycare"
,"        Education administrators, kindergarten through secondary",False,,,,,,11-9032,Line item,300.4,303.7,3.3,1.1,1.5,20.2,103460,Master's degree,5 years or more,,"        Education administrators, kindergarten through secondary","Education Administrators, Kindergarten through Secondary",Similar Match,89.91071428571428,31,11-9032,"Education Administrators, Kindergarten through Secondary"
,"        Education administrators, postsecondary",False,,,,,,11-9033,Line item,218.2,225.9,7.7,3.5,2.9,15.3,102610,Master's degree,Less than 5 years,,"        Education administrators, postsecondary","Education Administrators, Postsecondary",Similar Match,90.12820512820512,32,11-9033,"Education Administrators, Postsecondary"
,"        Education administrators, all other",False,,,,,,11-9039,Line item,57.6,59.2,1.6,2.8,4.8,4,88460,Bachelor's degree,Less than 5 years,,"        Education administrators, all other","Education Administrators, All Other",Similar Match,86.85714285714286,33,11-9039,"Education Administrators, All Other"
,      Architectural and engineering managers,False,,,,,,11-9041,Line item,201.5,209.7,8.2,4.1,0.2,13.6,165370,Bachelor's degree,5 years or more,,      Architectural and engineering managers,Architectural and Engineering Managers,Similar Match,89.99999999999999,34,11-9041,Architectural and Engineering Managers
,      Food service managers,False,,,,,,11-9051,Line item,357.5,359.2,1.6,0.5,33.4,39.6,63060,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,      Food service managers,Food Service Managers,Similar Match,85.95238095238095,35,11-9051,Food Service Managers
,      Entertainment and recreation managers,False,,,,,,11-9070,Summary,31.7,34.1,2.3,7.3,7.4,3.7,75210,—,—,—,      Entertainment and recreation managers,Entertainment and Recreation Managers,Similar Match,89.86486486486486,36,11-9070,Entertainment and Recreation Managers
,        Gambling managers,True,Other/TBD,Not Trade,Very Certain,OUT,,11-9071,Line item,5.3,5.4,0.1,2.6,6.5,0.6,82380,High school diploma or equivalent,Less than 5 years,,        Gambling managers,Gambling Managers,Similar Match,89.41176470588236,37,11-9071,Gambling Managers
,"        Entertainment and recreation managers, except gambling",False,,,,,,11-9072,Line item,26.4,28.6,2.2,8.3,7.6,3.1,73460,Bachelor's degree,Less than 5 years,,"        Entertainment and recreation managers, except gambling","Entertainment and Recreation Managers, Except Gambling",Similar Match,87.96296296296296,38,11-9072,"Entertainment and Recreation Managers, Except Gambling"
,      Lodging managers,True,Other/TBD,Not Trade,Very Certain,OUT,,11-9081,Line item,50.8,54.2,3.4,6.7,17.1,5.4,65360,High school diploma or equivalent,Less than 5 years,,      Lodging managers,Lodging Managers,Similar Match,89.0625,39,11-9081,Lodging Managers
,      Medical and health services managers,False,,,,,,11-9111,Line item,509.5,654.2,144.7,28.4,3.5,54.7,110680,Bachelor's degree,Less than 5 years,,      Medical and health services managers,Medical and Health Services Managers,Similar Match,87.08333333333333,40,11-9111,Medical and Health Services Managers
,      Natural sciences managers,False,,,,,,11-9121,Line item,86.3,90.5,4.2,4.8,—,6.5,157740,Bachelor's degree,5 years or more,,      Natural sciences managers,Natural Sciences Managers,Similar Match,87.39999999999999,41,11-9121,Natural Sciences Managers
,        Funeral home managers,True,Other/TBD,Not Trade,Very Certain,OUT,,11-9171,Line item,36.4,37.2,0.8,2.2,60.9,2.7,75660,Associate's degree,Less than 5 years,,        Funeral home managers,Funeral Home Managers,Similar Match,85.95238095238095,47,11-9171,Funeral Home Managers
,"      Property, real estate, and community association managers",False,,,,,,11-9141,Line item,429.6,453,23.4,5.4,37.5,35.9,62850,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,"      Property, real estate, and community association managers","Property, Real Estate, and Community Association Managers",Similar Match,86.66666666666667,43,11-9141,"Property, Real Estate, and Community Association Managers"
,      Social and community service managers,False,,,,,,11-9151,Line item,178.4,194.6,16.2,9.1,4.7,16,77030,Bachelor's degree,Less than 5 years,,      Social and community service managers,Social and Community Service Managers,Similar Match,87.29729729729729,44,11-9151,Social and Community Service Managers
,      Emergency management directors,False,,,,,,11-9161,Line item,11.8,12.2,0.4,3.3,—,0.9,83960,Bachelor's degree,5 years or more,,      Emergency management directors,Emergency Management Directors,Similar Match,88.66666666666666,45,11-9161,Emergency Management Directors
,      Personal service managers,False,,,,,,11-9170,Summary,59.4,61.2,1.8,3,60.1,4.5,64520,—,—,—,      Personal service managers,Personal Service Managers,Similar Match,87.39999999999999,46,11-9170,Personal Service Managers
,"        Personal service managers, all other",True,Other/TBD,Not Trade,Very Certain,OUT,,11-9179,Line item,23.1,24.1,1,4.3,58.7,1.8,57570,High school diploma or equivalent,Less than 5 years,,"        Personal service managers, all other",Personal Service Managers,Similar Match,85.5,46,11-9170,Personal Service Managers
,        Architectural and civil drafters,True,Skilled Trade,Trade,Somewhat Certain,OUT,some may require bachelor degree,17-3011,Line item,107.1,107.7,0.6,0.6,0.2,10,61820,Associate's degree,,,        Architectural and civil drafters,Architectural and Civil Drafters,Similar Match,89.0625,156,17-3011,Architectural and Civil Drafters
,"      Managers, all other",False,,,,,,11-9199,Line item,1228.3,1269.4,41,3.3,52.5,94.4,133560,Bachelor's degree,Less than 5 years,,"      Managers, all other","Entertainment and Recreation Managers, Except Gambling",Similar Match,85.5,38,11-9072,"Entertainment and Recreation Managers, Except Gambling"
,  Business and financial operations occupations,False,,,,,,13-0000,Summary,10591.1,11179.7,588.6,5.6,4.2,911.4,79050,—,—,—,  Business and financial operations occupations,Business and Financial Operations Occupations,Similar Match,91.30434782608697,51,13-0000,Business and Financial Operations Occupations
,    Business operations specialists,False,,,,,,13-1000,Summary,7267.5,7683.5,415.9,5.7,3.7,648.2,78500,—,—,—,    Business operations specialists,Business Operations Specialists,Similar Match,88.87096774193549,52,13-1000,Business Operations Specialists
,"      Agents and business managers of artists, performers, and athletes",False,,,,,,13-1011,Line item,19.9,21.5,1.6,8.2,33.1,2.1,84900,Bachelor's degree,Less than 5 years,,"      Agents and business managers of artists, performers, and athletes","Agents and Business Managers of Artists, Performers, and Athletes",Similar Match,88.23529411764706,53,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
,      Buyers and purchasing agents,False,,,,,,13-1020,Line item,494.4,456.3,-38,-7.7,3.4,39,71950,Bachelor's degree,,Moderate-term on-the-job training,      Buyers and purchasing agents,Buyers and Purchasing Agents,Similar Match,88.21428571428571,54,13-1020,Buyers and Purchasing Agents
,"      Claims adjusters, appraisers, examiners, and investigators",False,,,,,,13-1030,Summary,342.6,331.9,-10.7,-3.1,1.2,21.5,75020,—,—,—,"      Claims adjusters, appraisers, examiners, and investigators","Claims Adjusters, Appraisers, Examiners, and Investigators",Similar Match,88.52459016393442,55,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators"
,        Electrical and electronics drafters,True,Skilled Trade,Trade,Somewhat Certain,OUT,some may require bachelor degree,17-3012,Line item,21.8,22,0.2,0.9,2.9,1.8,69260,Associate's degree,,,        Electrical and electronics drafters,Electrical and Electronics Drafters,Similar Match,89.57142857142857,157,17-3012,Electrical and Electronics Drafters
,"        Cooks, restaurant",False,Skilled Trade,Trade,Somewhat Certain,IN,,35-2014,Line item,1361.2,1638.9,277.6,20.4,—,252.4,35780,No formal educational credential,Less than 5 years,Moderate-term on-the-job training,"        Cooks, restaurant",Cooks,Similar Match,90.0,574,35-2010,Cooks
,      Compliance officers,False,,,,,,13-1041,Line item,377.5,394.7,17.2,4.6,0,31,75670,Bachelor's degree,,Moderate-term on-the-job training,      Compliance officers,Compliance Officers,Similar Match,90.0,58,13-1041,Compliance Officers
,      Cost estimators,False,,,,,,13-1051,Line item,231.4,224.9,-6.5,-2.8,1.2,18,74740,Bachelor's degree,,Moderate-term on-the-job training,      Cost estimators,Cost Estimators,Similar Match,88.66666666666666,59,13-1051,Cost Estimators
,      Human resources workers,False,,,,,,13-1070,Summary,940.7,991.6,51,5.4,1.3,84.1,69520,—,—,—,      Human resources workers,Human Resources Workers,Similar Match,86.73913043478261,60,13-1070,Human Resources Workers
,        Human resources specialists,False,,,,,,13-1071,Line item,874.5,925.9,51.4,5.9,1.3,78.7,67650,Bachelor's degree,,,        Human resources specialists,Human Resources Specialists,Similar Match,87.96296296296296,61,13-1071,Human Resources Specialists
,        Farm labor contractors,False,,,,,,13-1074,Line item,1.6,1.7,0.1,7.4,—,0.2,45730,No formal educational credential,Less than 5 years,Short-term on-the-job training,        Farm labor contractors,Farm Labor Contractors,Similar Match,86.36363636363636,62,13-1074,Farm Labor Contractors
,        Labor relations specialists,False,,,,,,13-1075,Line item,64.6,64,-0.5,-0.8,1.4,5.2,89980,Bachelor's degree,Less than 5 years,,        Labor relations specialists,Labor Relations Specialists,Similar Match,87.96296296296296,63,13-1075,Labor Relations Specialists
,      Logisticians and project management specialists,False,,,,,,13-1080,Summary,1090,1182.9,93,8.5,0.7,89.9,94630,—,—,—,      Logisticians and project management specialists,Logisticians,Similar Match,90.0,65,13-1081,Logisticians
,        Logisticians,False,,,,,,13-1081,Line item,208.7,246.9,38.3,18.3,0.6,21.8,79400,Bachelor's degree,,,        Logisticians,Logisticians,Similar Match,90.0,65,13-1081,Logisticians
,        Project management specialists,False,,,,,,13-1082,Line item,881.3,936,54.7,6.2,0.8,68.1,98580,Bachelor's degree,,,        Project management specialists,Project Management Specialists,Similar Match,88.66666666666666,66,13-1082,Project Management Specialists
,      Management analysts,False,,,,,,13-1111,Line item,987.6,1083.3,95.7,9.7,14.3,92.9,99410,Bachelor's degree,Less than 5 years,,      Management analysts,Management Analysts,Similar Match,89.99999999999999,67,13-1111,Management Analysts
,"      Meeting, convention, and event planners",False,,,,,,13-1121,Line item,132,141.9,9.9,7.5,3.5,15.2,56920,Bachelor's degree,,,"      Meeting, convention, and event planners","Meeting, Convention, and Event Planners",Similar Match,87.6923076923077,68,13-1121,"Meeting, Convention, and Event Planners"
,      Fundraisers,False,,,,,,13-1131,Line item,124,130.5,6.5,5.2,2.1,9.9,64160,Bachelor's degree,,,      Fundraisers,Fundraisers,Similar Match,90.0,69,13-1131,Fundraisers
,"      Compensation, benefits, and job analysis specialists",False,,,,,,13-1141,Line item,98.2,105.1,6.9,7,—,7.7,74530,Bachelor's degree,Less than 5 years,,"      Compensation, benefits, and job analysis specialists","Compensation, Benefits, and Job Analysis Specialists",Similar Match,87.6923076923077,70,13-1141,"Compensation, Benefits, and Job Analysis Specialists"
,      Training and development specialists,False,,,,,,13-1151,Line item,385.8,409.9,24.2,6.3,0.8,35.4,64340,Bachelor's degree,Less than 5 years,,      Training and development specialists,Training and Development Specialists,Similar Match,89.72222222222221,71,13-1151,Training and Development Specialists
,      Market research analysts and marketing specialists,False,,,,,,13-1161,Line item,868.6,985.2,116.6,13.4,4.6,94.6,74680,Bachelor's degree,,,      Market research analysts and marketing specialists,Market Research Analysts and Marketing Specialists,Similar Match,87.39999999999999,72,13-1161,Market Research Analysts and Marketing Specialists
,"      Business operations specialists, all other",False,,,,,,13-1199,Line item,1174.8,1223.6,48.7,4.1,2.3,107,79590,Bachelor's degree,,,"      Business operations specialists, all other","Business Operations Specialists, All Other",Similar Match,85.95238095238095,74,13-1199,"Business Operations Specialists, All Other"
,    Financial specialists,False,,,,,,13-2000,Summary,3323.6,3496.2,172.7,5.2,5.2,263.2,80090,—,—,—,    Financial specialists,Financial Specialists,Similar Match,90.47619047619048,75,13-2000,Financial Specialists
,      Accountants and auditors,False,,,,,,13-2011,Line item,1538.4,1605.8,67.4,4.4,4.2,126.5,79880,Bachelor's degree,,,      Accountants and auditors,Accountants and Auditors,Similar Match,91.04166666666666,76,13-2011,Accountants and Auditors
,      Property appraisers and assessors,False,,,,,,13-2020,Line item,77.6,81.1,3.6,4.6,20,6.9,61630,Bachelor's degree,,Long-term on-the-job training,      Property appraisers and assessors,Property Appraisers and Assessors,Similar Match,89.24242424242424,77,13-2020,Property Appraisers and Assessors
,      Budget analysts,False,,,,,,13-2031,Line item,51.6,53.3,1.7,3.3,—,3.6,84940,Bachelor's degree,,,      Budget analysts,Budget Analysts,Similar Match,88.66666666666666,78,13-2031,Budget Analysts
,      Credit analysts,False,,,,,,13-2041,Line item,73,69.9,-3.2,-4.3,0.4,4.6,79420,Bachelor's degree,,,      Credit analysts,Credit Analysts,Similar Match,88.66666666666666,79,13-2041,Credit Analysts
,      Financial analysts and advisors,False,,,,,,13-2050,Summary,829.1,897.1,68,8.2,7.4,61.3,97450,—,—,—,      Financial analysts and advisors,Financial Analysts and Advisors,Similar Match,88.87096774193547,80,13-2050,Financial Analysts and Advisors
,        Financial and investment analysts,False,,,,,,13-2051,Line item,317.2,341.4,24.2,7.6,5.6,23,99010,Bachelor's degree,,,        Financial and investment analysts,Financial and Investment Analysts,Similar Match,89.24242424242424,81,13-2051,Financial and Investment Analysts
,        Personal financial advisors,False,,,,,,13-2052,Line item,327.6,369.6,42,12.8,12.2,25.6,99580,Bachelor's degree,,Long-term on-the-job training,        Personal financial advisors,Personal Financial Advisors,Similar Match,87.96296296296296,82,13-2052,Personal Financial Advisors
,        Insurance underwriters,False,,,,,,13-2053,Line item,125.5,122.4,-3,-2.4,1.6,8.2,77860,Bachelor's degree,,Moderate-term on-the-job training,        Insurance underwriters,Insurance Underwriters,Similar Match,90.68181818181817,83,13-2053,Insurance Underwriters
,        Financial risk specialists,False,,,,,,13-2054,Line item,58.9,63.7,4.8,8.2,2.2,4.4,106090,Bachelor's degree,,,        Financial risk specialists,Financial Risk Specialists,Similar Match,87.6923076923077,84,13-2054,Financial Risk Specialists
,      Financial examiners,False,,,,,,13-2061,Line item,65.6,78.5,12.8,19.5,—,6.3,84300,Bachelor's degree,,Long-term on-the-job training,      Financial examiners,Financial Examiners,Similar Match,89.99999999999999,85,13-2061,Financial Examiners
,      Credit counselors and loan officers,False,,,,,,13-2070,Summary,387.7,399.8,12.2,3.1,1.5,27.7,65280,—,—,—,      Credit counselors and loan officers,Credit Counselors and Loan Officers,Similar Match,86.85714285714286,86,13-2070,Credit Counselors and Loan Officers
,        Credit counselors,False,,,,,,13-2071,Line item,32.8,34.6,1.8,5.4,1.1,2.4,48570,Bachelor's degree,,Moderate-term on-the-job training,        Credit counselors,Credit Counselors,Similar Match,89.41176470588236,87,13-2071,Credit Counselors
,        Loan officers,False,,,,,,13-2072,Line item,354.8,365.3,10.4,2.9,1.6,25.3,69990,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,        Loan officers,Credit Counselors and Loan Officers,Similar Match,85.5,86,13-2070,Credit Counselors and Loan Officers
,"      Tax examiners, collectors and preparers, and revenue agents",False,,,,,,13-2080,Summary,164.6,166.5,1.9,1.2,14.5,16.5,54080,—,—,—,"      Tax examiners, collectors and preparers, and revenue agents","Tax Examiners, Collectors and Preparers, and Revenue Agents",Similar Match,87.09677419354838,89,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents"
,"        Tax examiners and collectors, and revenue agents",False,,,,,,13-2081,Line item,55,55.4,0.3,0.6,2,4.1,58530,Bachelor's degree,,Moderate-term on-the-job training,"        Tax examiners and collectors, and revenue agents","Tax Examiners and Collectors, and Revenue Agents",Similar Match,86.36363636363636,90,13-2081,"Tax Examiners and Collectors, and Revenue Agents"
,        Nursing assistants,True,Skilled Trade,Trade,Somewhat Certain,IN,,31-1131,Line item,1361.3,1417.8,56.5,4.1,1.2,202.4,38200,Postsecondary nondegree award,,,        Nursing assistants,Nursing Assistants,Similar Match,89.72222222222221,512,31-1131,Nursing Assistants
,"      Financial specialists, all other",False,,,,,,13-2099,Line item,136,144.2,8.3,6.1,1.6,9.9,78310,Bachelor's degree,,,"      Financial specialists, all other","Financial Specialists, All Other",Similar Match,86.09375,93,13-2099,"Financial Specialists, All Other"
,  Computer and mathematical occupations,False,,,,,,15-0000,Summary,5277.6,6081.4,803.8,15.2,2.1,411,104200,—,—,—,  Computer and mathematical occupations,Computer and Mathematical Occupations,Similar Match,92.10526315789474,94,15-0000,Computer and Mathematical Occupations
,    Computer occupations,False,,,,,,15-1200,Summary,4929.1,5631,701.9,14.2,2.2,377.5,104420,—,—,—,    Computer occupations,Computer Occupations,Similar Match,90.25,95,15-1200,Computer Occupations
,      Computer and information analysts,False,,,,,,15-1210,Summary,700.3,804.7,104.4,14.9,1.8,54.3,105830,—,—,—,      Computer and information analysts,Computer and Information Analysts,Similar Match,89.24242424242424,96,15-1210,Computer and Information Analysts
,        Computer systems analysts,False,,,,,,15-1211,Line item,531.4,582.6,51.1,9.6,2.2,37.6,103800,Bachelor's degree,,,        Computer systems analysts,Computer Systems Analysts,Similar Match,87.39999999999999,97,15-1211,Computer Systems Analysts
,        Information security analysts,False,,,,,,15-1212,Line item,168.9,222.2,53.2,31.5,0.5,16.8,120360,Bachelor's degree,Less than 5 years,,        Information security analysts,Information Security Analysts,Similar Match,88.44827586206895,98,15-1212,Information Security Analysts
,      Computer and information research scientists,False,,,,,,15-1221,Line item,36.5,44.8,8.3,22.7,—,3.4,145080,Master's degree,,,      Computer and information research scientists,Computer and Information Research Scientists,Similar Match,88.52272727272728,99,15-1221,Computer and Information Research Scientists
,      Computer support specialists,False,,,,,,15-1230,Summary,914.1,963.3,49.2,5.4,2,66.5,60810,—,—,—,      Computer support specialists,Computer Support Specialists,Similar Match,88.21428571428571,100,15-1230,Computer Support Specialists
,        Aerospace engineering and operations technologists and technicians,True,Skilled Trade,Trade,Somewhat Certain,OUT,some may require bachelor degree,17-3021,Line item,10.2,11,0.8,8.3,1.7,1,77830,Associate's degree,,,        Aerospace engineering and operations technologists and technicians,Aerospace Engineering and Operations Technologists and Technicians,Similar Match,88.87096774193547,161,17-3021,Aerospace Engineering and Operations Technologists and Technicians
,"      Maintenance and repair workers, general",True,Skilled Trade,Trade,Very Certain,IN,,49-9071,Line item,1607.2,1664.4,57.2,3.6,0.9,152.4,46700,High school diploma or equivalent,,Moderate-term on-the-job training,"      Maintenance and repair workers, general","Maintenance and Repair Workers, General",Similar Match,87.6923076923077,913,49-9071,"Maintenance and Repair Workers, General"
,      Database and network administrators and architects,False,,,,,,15-1240,Summary,669.4,696.4,27,4,0.4,40.2,105720,—,—,—,      Database and network administrators and architects,Database and Network Administrators and Architects,Similar Match,88.80434782608695,103,15-1240,Database and Network Administrators and Architects
,        Computer network architects,False,,,,,,15-1241,Line item,180.2,186.6,6.3,3.5,1.4,10.2,129840,Bachelor's degree,5 years or more,,        Computer network architects,Computer Network Architects,Similar Match,87.96296296296296,104,15-1241,Computer Network Architects
,        Database administrators,False,,,,,,15-1242,Line item,85.2,91.2,6,7,—,5.7,101510,Bachelor's degree,,,        Database administrators,Database Administrators,Similar Match,90.86956521739131,105,15-1242,Database Administrators
,        Database architects,False,,,,,,15-1243,Line item,64,70.4,6.4,10,—,4.5,134700,Bachelor's degree,Less than 5 years,,        Database architects,Database Architects,Similar Match,89.99999999999999,106,15-1243,Database Architects
,        Network and computer systems administrators,False,,,,,,15-1244,Line item,339.9,348.2,8.3,2.5,—,19.8,95360,Bachelor's degree,,,        Network and computer systems administrators,Network and Computer Systems Administrators,Similar Match,88.3720930232558,107,15-1244,Network and Computer Systems Administrators
