Unnamed: 0,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Original Occupation,Best Match,Degree of Match,Score,index,OCC_CODE,OCC_TITLE
,        Correctional officers and jailers,True,Non skilled worker,Not Trade,Very Certain,OUT,,33-3012,Line item,378.5,349.9,-28.6,-7.5,—,28.6,53300,High school diploma or equivalent,,Moderate-term on-the-job training,        Correctional officers and jailers,Correctional Officers and Jailers,Similar Match,89.24242424242424,550,33-3012,Correctional Officers and Jailers
,      Miscellaneous personal appearance workers,False,,,,,,39-5090,Summary,294.7,321,26.2,8.9,28,40.8,34810,—,—,—,      Miscellaneous personal appearance workers,Miscellaneous Personal Appearance Workers,Similar Match,88.04878048780488,640,39-5090,Miscellaneous Personal Appearance Workers
,      Detectives and criminal investigators,True,Non skilled worker,Not Trade,Very Certain,OUT,,33-3021,Line item,114.4,116.1,1.7,1.5,0.6,8.6,91100,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,      Detectives and criminal investigators,Detectives and Criminal Investigators,Similar Match,89.86486486486486,551,33-3021,Detectives and Criminal Investigators
,        Police and sheriff's patrol officers,True,Professions,Not Trade,Very Certain,OUT,classified as profession due to industry recognition,33-3051,Line item,684,706.5,22.5,3.3,—,55,72280,High school diploma or equivalent,,Moderate-term on-the-job training,        Police and sheriff's patrol officers,Police and Sheriff's Patrol Officers,Similar Match,87.08333333333333,555,33-3051,Police and Sheriff's Patrol Officers
,        Shampooers,False,,,,,,39-5093,Line item,11.3,12.6,1.3,11.2,33.4,2.1,29530,No formal educational credential,,Short-term on-the-job training,        Shampooers,Shampooers,Similar Match,90.0,643,39-5093,Shampooers
,        Transit and railroad police,True,Professions,Not Trade,Very Certain,OUT,classified as profession due to industry recognition,33-3052,Line item,3.4,3.5,0.1,3.2,—,0.3,72250,High school diploma or equivalent,,Moderate-term on-the-job training,        Transit and railroad police,Transit and Railroad Police,Similar Match,87.96296296296296,556,33-3052,Transit and Railroad Police
,"    Baggage porters, bellhops, and concierges",False,,,,,,39-6000,Summary,66.4,70.3,3.9,5.9,—,11.1,36260,—,—,—,"    Baggage porters, bellhops, and concierges","Baggage Porters, Bellhops, and Concierges",Similar Match,88.37209302325581,645,39-6010,"Baggage Porters, Bellhops, and Concierges"
,      Baggage porters and bellhops,False,,,,,,39-6011,Line item,27.7,29.4,1.7,6.3,—,4.7,34840,High school diploma or equivalent,,Short-term on-the-job training,      Baggage porters and bellhops,Baggage Porters and Bellhops,Similar Match,88.21428571428571,646,39-6011,Baggage Porters and Bellhops
,      Animal control workers,False,Non skilled worker,Not Trade,Very Certain,OUT,,33-9011,Line item,11.9,12.4,0.5,4,—,1.2,43170,High school diploma or equivalent,,Moderate-term on-the-job training,      Animal control workers,Animal Control Workers,Similar Match,86.36363636363636,558,33-9011,Animal Control Workers
,    Tour and travel guides,False,,,,,,39-7000,Summary,53.6,58,4.3,8.1,17.4,12.2,36060,—,—,—,    Tour and travel guides,Tour and Travel Guides,Similar Match,86.36363636363636,648,39-7010,Tour and Travel Guides
,      Private detectives and investigators,True,Professions,Not Trade,Very Certain,OUT,classified as profession due to industry recognition,33-9021,Line item,38.3,40.6,2.3,6.1,15.5,3.8,49540,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,      Private detectives and investigators,Private Detectives and Investigators,Similar Match,89.72222222222221,559,33-9021,Private Detectives and Investigators
,    Other personal care and service workers,False,,,,,,39-9000,Summary,1747.4,1811.1,63.6,3.6,18,320.3,34690,—,—,—,    Other personal care and service workers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,85.5,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,      Childcare workers,False,,,,,,39-9011,Line item,945.9,927.4,-18.5,-2,24.4,153.1,30370,High school diploma or equivalent,,Short-term on-the-job training,      Childcare workers,Childcare Workers,Similar Match,89.41176470588236,650,39-9011,Childcare Workers
,      Recreation and fitness workers,False,,,,,,39-9030,Summary,618.8,677.4,58.5,9.5,10.4,130.7,37000,—,—,—,      Recreation and fitness workers,Recreation and Fitness Workers,Similar Match,88.66666666666666,651,39-9030,Recreation and Fitness Workers
,        Exercise trainers and group fitness instructors,False,,,,,,39-9031,Line item,329.5,374.6,45.2,13.7,19.3,69,46480,High school diploma or equivalent,,Short-term on-the-job training,        Exercise trainers and group fitness instructors,Exercise Trainers and Group Fitness Instructors,Similar Match,86.91489361702128,652,39-9031,Exercise Trainers and Group Fitness Instructors
,        Recreation workers,False,,,,,,39-9032,Line item,289.4,302.7,13.4,4.6,0.3,61.7,34410,High school diploma or equivalent,,Short-term on-the-job training,        Recreation workers,Recreation Workers,Similar Match,89.72222222222221,653,39-9032,Recreation Workers
,      Residential advisors,False,,,,,,39-9041,Line item,95.7,101.4,5.7,6,2.2,17.6,37950,High school diploma or equivalent,,Short-term on-the-job training,      Residential advisors,Residential Advisors,Similar Match,90.25,654,39-9041,Residential Advisors
,"      Personal care and service workers, all other",False,,,,,,39-9099,Line item,87,104.9,17.9,20.5,20.2,18.9,36980,High school diploma or equivalent,,Short-term on-the-job training,"      Personal care and service workers, all other",General and Operations Managers,Similar Match,85.5,4,11-1021,General and Operations Managers
,  Sales and related occupations,False,,,,,,41-0000,Summary,14476.4,14102,-374.5,-2.6,7.8,1806.9,36760,—,—,—,  Sales and related occupations,Sales and Related Occupations,Similar Match,90.0,657,41-0000,Sales and Related Occupations
,    Supervisors of sales workers,False,,,,,,41-1000,Summary,1770.2,1668.2,-102,-5.8,24.1,152,49020,—,—,—,    Supervisors of sales workers,Supervisors of Sales Workers,Similar Match,88.21428571428571,658,41-1000,Supervisors of Sales Workers
,        Gambling surveillance officers and gambling investigators,False,Non skilled worker,Not Trade,Very Certain,OUT,,33-9031,Line item,10.8,10.9,0.1,0.6,—,1.4,39210,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,        Gambling surveillance officers and gambling investigators,Gambling Surveillance Officers and Gambling Investigators,Similar Match,86.88524590163934,561,33-9031,Gambling Surveillance Officers and Gambling Investigators
,        Medical equipment repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-9062,Line item,66.4,75.1,8.8,13.2,9.6,7.3,60670,Associate's degree,,Moderate-term on-the-job training,        Medical equipment repairers,Medical Equipment Preparers,Similar Match,87.96296296296296,527,31-9093,Medical Equipment Preparers
,    Retail sales workers,False,,,,,,41-2000,Summary,7777.8,7362.3,-415.4,-5.3,2,1189.9,31940,—,—,—,    Retail sales workers,First-Line Supervisors of Retail Sales Workers,Similar Match,85.5,660,41-1011,First-Line Supervisors of Retail Sales Workers
,      Cashiers,False,,,,,,41-2010,Summary,3365.2,3016,-349.2,-10.4,0.5,581.2,29740,—,—,—,      Cashiers,Cashiers,Similar Match,90.0,663,41-2011,Cashiers
,        Cashiers,False,,,,,,41-2011,Line item,3345.8,2997.7,-348.1,-10.4,0.5,577.6,29720,No formal educational credential,,Short-term on-the-job training,        Cashiers,Cashiers,Similar Match,90.0,663,41-2011,Cashiers
,        Gambling change persons and booth cashiers,False,,,,,,41-2012,Line item,19.4,18.3,-1.1,-5.6,—,3.5,33230,No formal educational credential,,Short-term on-the-job training,        Gambling change persons and booth cashiers,Gambling Change Persons and Booth Cashiers,Similar Match,85.95238095238095,664,41-2012,Gambling Change Persons and Booth Cashiers
,      Counter and rental clerks and parts salespersons,False,,,,,,41-2020,Summary,646.9,659.9,12.9,2,0.9,77.1,37200,—,—,—,      Counter and rental clerks and parts salespersons,Counter and Rental Clerks and Parts Salespersons,Similar Match,86.36363636363636,665,41-2020,Counter and Rental Clerks and Parts Salespersons
,        Counter and rental clerks,False,,,,,,41-2021,Line item,380.8,391.2,10.4,2.7,0.8,45.7,37400,No formal educational credential,,Short-term on-the-job training,        Counter and rental clerks,Counter and Rental Clerks,Similar Match,87.39999999999999,666,41-2021,Counter and Rental Clerks
,        Barbers,True,Skilled Trade,Trade,Somewhat Certain,IN,Might need significant amount of training on the upper end,39-5011,Line item,63.1,67.6,4.4,7,79,7.3,36150,Postsecondary nondegree award,,,        Barbers,Barbers,Similar Match,90.0,638,39-5011,Barbers
,      Retail salespersons,False,,,,,,41-2031,Line item,3765.6,3686.4,-79.1,-2.1,3.6,531.7,33680,No formal educational credential,,Short-term on-the-job training,      Retail salespersons,Retail Salespersons,Similar Match,90.0,668,41-2031,Retail Salespersons
,"    Sales representatives, services",False,,,,,,41-3000,Summary,2309.8,2428,118.1,5.1,5.1,218.1,63150,—,—,—,"    Sales representatives, services","Sales Representatives, Services",Similar Match,88.87096774193547,669,41-3000,"Sales Representatives, Services"
,      Pest control workers,False,Non skilled worker,Not Trade,Somewhat Certain,OUT,training completed in less than 3 months,37-2021,Line item,95,98,3,3.1,2.8,12.6,43470,High school diploma or equivalent,,Moderate-term on-the-job training,      Pest control workers,Building Cleaning and Pest Control Workers,Similar Match,85.5,598,37-2000,Building Cleaning and Pest Control Workers
,"      Pesticide handlers, sprayers, and applicators, vegetation",True,Non skilled worker,Not Trade,Very Certain,OUT,,37-3012,Line item,23.2,23.7,0.5,2,0.4,3,44070,High school diploma or equivalent,,Moderate-term on-the-job training,"      Pesticide handlers, sprayers, and applicators, vegetation","Pesticide Handlers, Sprayers, and Applicators, Vegetation",Similar Match,88.33333333333333,606,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
,"      Securities, commodities, and financial services sales agents",False,,,,,,41-3031,Line item,482.2,517.7,35.6,7.4,5.9,40.1,76900,Bachelor's degree,,Moderate-term on-the-job training,"      Securities, commodities, and financial services sales agents","Securities, Commodities, and Financial Services Sales Agents",Similar Match,87.3015873015873,672,41-3031,"Securities, Commodities, and Financial Services Sales Agents"
,      Animal trainers,True,Non skilled worker,Not Trade,Somewhat Certain,OUT,,39-2011,Line item,54.1,62.8,8.7,16,54.4,9,38810,High school diploma or equivalent,,Moderate-term on-the-job training,      Animal trainers,Animal Trainers,Similar Match,88.66666666666666,616,39-2011,Animal Trainers
,      Concierges,True,Non skilled worker,Not Trade,Very Certain,OUT,,39-6012,Line item,38.7,40.9,2.2,5.6,—,6.5,37150,High school diploma or equivalent,,Moderate-term on-the-job training,      Concierges,Concierges,Similar Match,90.0,647,39-6012,Concierges
,"    Sales representatives, wholesale and manufacturing",False,,,,,,41-4000,Summary,1649.9,1670.4,20.5,1.2,2.7,148,73080,—,—,—,"    Sales representatives, wholesale and manufacturing","Sales Representatives, Wholesale and Manufacturing",Similar Match,90.38461538461539,676,41-4010,"Sales Representatives, Wholesale and Manufacturing"
,"      Sales representatives, wholesale and manufacturing, technical and scientific products",False,,,,,,41-4011,Line item,305.6,317.1,11.4,3.7,2.7,28.5,99710,Bachelor's degree,,Moderate-term on-the-job training,"      Sales representatives, wholesale and manufacturing, technical and scientific products","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Similar Match,89.77272727272727,677,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
,      Tour and travel guides,True,Non skilled worker,Not Trade,Very Certain,OUT,,39-7010,Line item,53.6,58,4.3,8.1,17.4,12.2,36060,High school diploma or equivalent,,Moderate-term on-the-job training,      Tour and travel guides,Tour and Travel Guides,Similar Match,86.36363636363636,648,39-7010,Tour and Travel Guides
,    Other sales and related workers,False,,,,,,41-9000,Summary,968.7,973,4.3,0.4,39.4,99,47990,—,—,—,    Other sales and related workers,Other Sales and Related Workers,Similar Match,85.80645161290323,679,41-9000,Other Sales and Related Workers
,"      Models, demonstrators, and product promoters",False,,,,,,41-9010,Summary,47.1,48.9,1.8,3.8,2.2,8.9,37190,—,—,—,"      Models, demonstrators, and product promoters","Models, Demonstrators, and Product Promoters",Similar Match,88.52272727272728,680,41-9010,"Models, Demonstrators, and Product Promoters"
,        Demonstrators and product promoters,False,,,,,,41-9011,Line item,45,46.8,1.8,4,2.3,8.5,36970,No formal educational credential,,Short-term on-the-job training,        Demonstrators and product promoters,Demonstrators and Product Promoters,Similar Match,89.57142857142857,681,41-9011,Demonstrators and Product Promoters
,        Parts salespersons,True,Non skilled worker,Not Trade,Very Certain,OUT,,41-2022,Line item,266.1,268.7,2.6,1,1,31.4,36860,No formal educational credential,,Moderate-term on-the-job training,        Parts salespersons,Parts Salespersons,Similar Match,89.72222222222221,667,41-2022,Parts Salespersons
,      Real estate brokers and sales agents,False,,,,,,41-9020,Summary,589.8,609.2,19.4,3.3,57.5,51.6,56620,—,—,—,      Real estate brokers and sales agents,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Similar Match,85.5,6,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
,      Advertising sales agents,True,Non skilled worker,Not Trade,Very Certain,OUT,,41-3011,Line item,111.4,103.4,-8,-7.2,3.6,10.5,61270,High school diploma or equivalent,,Moderate-term on-the-job training,      Advertising sales agents,Advertising Sales Agents,Similar Match,87.08333333333333,670,41-3011,Advertising Sales Agents
,      Insurance sales agents,True,Non skilled worker,Not Trade,Very Certain,OUT,,41-3021,Line item,536.8,579.3,42.5,7.9,11.1,48.3,59080,High school diploma or equivalent,,Moderate-term on-the-job training,      Insurance sales agents,Insurance Sales Agents,Similar Match,86.36363636363636,671,41-3021,Insurance Sales Agents
,      Sales engineers,False,,,,,,41-9031,Line item,60.9,63.8,2.9,4.7,0.5,5.9,116950,Bachelor's degree,,Moderate-term on-the-job training,      Sales engineers,Sales Engineers,Similar Match,88.66666666666666,686,41-9031,Sales Engineers
