,"Table 1.7 Occupational projections, 2022–32, and worker characteristics, 2022 (Numbers in thousands)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
952,"        Electrical and electronics repairers, powerhouse, substation, and relay",True,Skilled Trade,Trade,Very Certain,IN,,49-2095,Line item,26.1,25.4,-0.7,-2.7,0.5,2.1,96600,Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
957,"        Earth drillers, except oil and gas",True,Skilled Trade,Trade,Very Certain,IN,,47-5023,Line item,20.4,20.8,0.4,2.2,6.1,2.1,56660,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
961,"        Insulation workers, mechanical",True,Skilled Trade,Trade,Very Certain,IN,,47-2132,Line item,27.2,27.6,0.5,1.7,3.6,2.1,53920,High school diploma or equivalent,,Apprenticeship
963,        Air traffic controllers,False,,Trade,Somewhat Certain,IN,not sure if involves manual/mechanical/technical labor,53-2021,Line item,23,23.3,0.3,1.4,—,2,137380,Associate's degree,,Long-term on-the-job training
964,        Riggers,False,Skilled Trade,Trade,Very Certain,IN,,49-9096,Line item,19.7,20,0.3,1.4,—,2,56220,High school diploma or equivalent,,Moderate-term on-the-job training
974,      Plasterers and stucco masons,True,Skilled Trade,Trade,Very Certain,IN,,47-2161,Line item,27.3,27.9,0.6,2.1,5.4,2,52640,No formal educational credential,,Long-term on-the-job training
975,        Medical appliance technicians,False,Skilled Trade,Trade,Somewhat Certain,IN,Not sure if technicians in general are skilled trades,51-9082,Line item,16.6,17.1,0.4,2.5,4.8,2,44960,High school diploma or equivalent,,Moderate-term on-the-job training
978,        Avionics technicians,True,Skilled Trade,Trade,Somewhat Certain,IN,,49-2091,Line item,20.8,21.7,0.9,4.3,—,1.9,77420,Associate's degree,,
980,      Reinforcing iron and rebar workers,True,Skilled Trade,Trade,Very Certain,IN,,47-2171,Line item,22.8,23.1,0.3,1.2,24.3,1.9,54850,High school diploma or equivalent,,Apprenticeship
982,        Rail car repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-3043,Line item,20.1,20.8,0.7,3.6,4.9,1.8,65030,High school diploma or equivalent,,Long-term on-the-job training
983,      Wind turbine service technicians,True,Skilled Trade,Trade,Very Certain,IN,,49-9081,Line item,11.2,16.2,5,44.9,10.6,1.8,61770,Postsecondary nondegree award,,Long-term on-the-job training
987,"        Metal workers and plastic workers, all other",False,Skilled Trade,Trade,Somewhat Certain,IN,,51-4199,Line item,21.4,19.8,-1.7,-7.8,0.7,1.8,41200,High school diploma or equivalent,,Moderate-term on-the-job training
990,        Locksmiths and safe repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-9094,Line item,18.2,16.1,-2,-11.1,14.6,1.7,48380,High school diploma or equivalent,,Long-term on-the-job training
1005,        Automotive glass installers and repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-3022,Line item,21.9,22.2,0.4,1.7,19.4,1.7,45320,High school diploma or equivalent,,Moderate-term on-the-job training
1006,        Bicycle repairers,True,Skilled Trade,Trade,Very Certain,IN,,49-3091,Line item,14.4,14.9,0.5,3.8,2,1.7,38320,High school diploma or equivalent,,Moderate-term on-the-job training
1010,        Wellhead pumpers,False,Skilled Trade,Trade,Very Certain,IN,,53-7073,Line item,16.2,15.9,-0.4,-2.2,0.4,1.6,71830,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
1013,"      Woodworkers, all other",False,Skilled Trade,Trade,Somewhat Certain,IN,,51-7099,Line item,13.5,13,-0.5,-3.6,31.4,1.5,37760,High school diploma or equivalent,,Moderate-term on-the-job training
1014,        Continuous mining machine operators,False,Skilled Trade,Trade,Somewhat Certain,IN,1-12 month training,47-5041,Line item,13.9,13.5,-0.4,-3.2,0.6,1.4,61420,No formal educational credential,,Moderate-term on-the-job training
1015,"        Radio, cellular, and tower equipment installers and repairers",True,Skilled Trade,Trade,Very Certain,IN,,49-2021,Line item,13.5,13.9,0.5,3.4,2,1.4,61310,Associate's degree,,Moderate-term on-the-job training
1018,        Airfield operations specialists,False,,Trade,Somewhat Certain,IN,not sure if involves manual/mechanical/technical labor,53-2022,Line item,15,15.8,0.7,4.9,—,1.4,51140,High school diploma or equivalent,,Long-term on-the-job training
1019,        Electro-mechanical and mechatronics technologists and technicians,True,Skilled Trade,Trade,Somewhat Certain,IN,some may require bachelor degree,17-3024,Line item,15.2,14.8,-0.4,-2.7,1.7,1.3,65080,Associate's degree,,
